	host_response_time	cancellation_policy	host_is_superhost	host_has_profile_pic	host_identity_verified	is_location_exact	instant_bookable	require_guest_profile_picture	require_guest_phone_verification	24-Hour_Check-in	Air_Conditioning	Breakfast	Buzzer/Wireless_Intercom	Cable_TV	Carbon_Monoxide_Detector	Cat(s)	Dog(s)	Dryer	Elevator_in_Building	Essentials	Family/Kid_Friendly	Fire_Extinguisher	First_Aid_Kit	Free_Parking_on_Premises	Gym	Hair_Dryer	Hangers	Heating	Hot_Tub	Indoor_Fireplace	Internet	Iron	Kitchen	Laptop_Friendly_Workspace	Pets_Allowed	Pets_live_on_this_property	Safety_Card	Shampoo	Smoke_Detector	Suitable_for_Events	TV	Washer	Wheelchair_Accessible	Wireless_Internet	property_type_Apartment	property_type_House	room_type_Entire_home/apt	room_type_Private_room	bed_type_Real_Bed
12	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
13	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	1
14	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	0	1
15	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1
16	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1
17	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1
19	0	2	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	0	1	0	1	1	0	1
20	1	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	1
21	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	1
22	2	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	1
24	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1
25	1	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	1	1	1	0	1	1	0	1
27	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1
28	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
29	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	0	1
30	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1
31	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1
32	2	2	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1
33	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1
34	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	0	1
35	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
36	2	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1
37	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	0	1	0
38	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1
39	1	2	1	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
40	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
41	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1
42	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1
43	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1
44	2	2	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1
45	2	2	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	0
47	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1
48	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	0	1
49	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1
50	0	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1
52	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	0	0
55	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
56	2	2	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0
57	0	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1
59	2	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	0	1	1
60	0	2	0	1	1	1	0	0	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	1	1	0	0	1	0
61	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1
62	1	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	1
63	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1
65	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	1
66	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
67	1	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1
68	1	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1
71	1	2	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	1	0
72	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	1	1
73	2	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	1
74	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0
75	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	1	1
76	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	1	1
77	0	2	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	1	0	1	1
78	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	0	1	1
81	0	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1
82	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	0	1
84	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1
86	1	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1
89	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1
92	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1
93	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	0	1
94	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
95	2	2	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
96	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0
97	2	0	0	1	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	1
99	1	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1
100	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
101	1	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	1	1
102	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1
103	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1
104	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	0	0	1	0	1
105	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1
106	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1
107	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	1
108	0	2	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1
109	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1
110	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	0	1	0	1	0
111	2	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1
112	2	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1
113	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	1
114	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1
115	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1
116	1	2	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	0	1
117	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
119	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1
120	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1
122	2	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1
123	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	1
124	2	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1
125	1	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1
126	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0
127	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	1
128	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1
129	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0
130	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1
131	2	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1
132	1	2	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	1	1	0	1	0	1
133	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1
134	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	1	1
135	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1
136	2	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0
137	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1
138	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1
139	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1
140	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1
141	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	0	1	0	1	1	0	1	1	0	1	0	1	1	0	1
142	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1
143	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	0	1	1
144	1	2	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	0	1	1	0	1	0	1	0	1	1
145	2	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	1
146	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1
147	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	1	1	0	1	0	1	0	1	1
148	2	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	0	1	0	1	1
149	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	1
151	2	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1
152	1	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	1	1
153	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1
155	2	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	1
